단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
339770,교촌에프앤비보통주,교촌에프앤비,,9210.0
53270,구영테크,구영테크,,2365.0
7690,국도화학보통주,국도화학,,34950.0
5320,국동보통주,국동,,481.0
66620,국보디자인,국보디자인,,15570.0
1140,국보보통주,국보,,2110.0
43650,국순당,국순당,,6190.0
6050,국영지앤엠,국영지앤엠,,1146.0
60480,국일신동,국일신동,,2080.0
78130,국일제지,국일제지,,800.0
307750,국전약품,국전약품,,5040.0
2720,국제약품보통주,국제약품,,6420.0
243870,굿센,굿센,,9810.0
35080,그래디언트,그래디언트,,12540.0
114090,그랜드코리아레저보통주,GKL,,11960.0
900290,그레이트리치과기유한공사,GRT,,2990.0
453450,그리드위즈,그리드위즈,,23800.0
204020,그리티,그리티,,2880.0
402490,그린리소스,그린리소스,,16560.0
114450,그린생명과학,그린생명과학,,1976.0
83420,그린케미칼보통주,그린케미칼,,6620.0
186230,그린플러스,그린플러스,,10200.0
14530,극동유화보통주,극동유화,,3965.0
83450,글로벌스탠다드테크놀로지,GST,,15420.0
900070,글로벌에스엠테크리미티드,글로벌에스엠,,455.0
204620,글로벌텍스프리,글로벌텍스프리,,3820.0
19660,글로본,글로본,,577.0
14285,금강공업1우선주,금강공업우,,8320.0
14280,금강공업보통주,금강공업,,4930.0
53260,금강철강,금강철강,,4895.0
8870,금비보통주,금비,,61300.0
282720,금양그린파워,금양그린파워,,12180.0
1570,금양보통주,금양,,66300.0
2995,금호건설1우선주,금호건설우,,10090.0
2990,금호건설보통주,금호건설,,3590.0
11785,금호석유화학1우선주,금호석유우,,66000.0
11780,금호석유화학보통주,금호석유,,141500.0
214330,금호에이치티보통주,금호에이치티,,596.0
1210,금호전기보통주,금호전기,,678.0
73240,금호타이어보통주,금호타이어,,4975.0
36190,금화피에스시,금화피에스시,,25150.0
49080,기가레인,기가레인,,741.0
420770,기가비스,기가비스,,45000.0
35460,기산텔레콤,기산텔레콤,,1934.0
