단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
039240,경남스틸,경남스틸,,2850.0
053950,경남제약,경남제약,,903.0
002100,경농보통주,경농,,9360.0
009450,경동나비엔보통주,경동나비엔,,85300.0
267290,경동도시가스보통주,경동도시가스,,18760.0
012320,경동인베스트보통주,경동인베스트,,74000.0
011040,경동제약,경동제약,,6320.0
000050,경방보통주,경방,,6180.0
214390,경보제약보통주,경보제약,,7440.0
012610,경인양행보통주,경인양행,,3005.0
009140,경인전자보통주,경인전자,,20400.0
024910,경창산업,경창산업,,2175.0
013580,계룡건설산업보통주,계룡건설,,13290.0
012205,계양전기1우선주,계양전기우,,3520.0
012200,계양전기보통주,계양전기,,1487.0
002140,고려산업보통주,고려산업,,2815.0
049720,고려신용정보,고려신용정보,,9800.0
010130,고려아연보통주,고려아연,,1146000.0
002240,고려제강보통주,고려제강,,19580.0
014570,고려제약,고려제약,,4950.0
348150,고바이오랩,고바이오랩,,6490.0
950190,고스트스튜디오,고스트스튜디오,,10110.0
098460,고영테크놀러지,고영,,9620.0
035290,골드앤에스,골드앤에스,,439.0
215000,골프존,골프존,,66600.0
121440,골프존뉴딘홀딩스,골프존뉴딘홀딩스,,3740.0
366030,공구우먼,공구우먼,,4215.0
076340,관악산업,관악산업,,5540.0
009290,광동제약보통주,광동제약,,5610.0
086220,광동헬스바이오,광동헬스바이오,,1740.0
014200,광림,광림,,30200.0
017040,광명전기보통주,광명전기,,1565.0
029480,광무,광무,,3445.0
017900,광전자보통주,광전자,,1870.0
037710,광주신세계보통주,광주신세계,,29600.0
026910,광진실업,광진실업,,2255.0
421800,교보12호기업인수목적,교보12호스팩,,2710.0
440790,교보13호기업인수목적,교보13호스팩,,2185.0
456490,교보14호기업인수목적,교보14호스팩,,2165.0
465320,교보15호기업인수목적,교보15호스팩,,2140.0
030610,교보증권보통주,교보증권,,5390.0
339770,교촌에프앤비보통주,교촌에프앤비,,9000.0
053270,구영테크,구영테크,,2255.0
007690,국도화학보통주,국도화학,,32500.0
005320,국동보통주,국동,,418.0
066620,국보디자인,국보디자인,,16640.0
001140,국보보통주,국보,,2110.0
043650,국순당,국순당,,5060.0
006050,국영지앤엠,국영지앤엠,,2095.0
060480,국일신동,국일신동,,1954.0
078130,국일제지,국일제지,,800.0
307750,국전약품,국전약품,,4135.0
002720,국제약품보통주,국제약품,,5630.0
243870,굿센,굿센,,7530.0
035080,그래디언트,그래디언트,,12090.0
114090,그랜드코리아레저보통주,GKL,,11250.0
900290,그레이트리치과기유한공사,GRT,,4005.0
453450,그리드위즈,그리드위즈,,19150.0
204020,그리티,그리티,,2810.0
402490,그린리소스,그린리소스,,16430.0
114450,그린생명과학,그린생명과학,,1996.0
083420,그린케미칼보통주,그린케미칼,,5600.0
186230,그린플러스,그린플러스,,8800.0
014530,극동유화보통주,극동유화,,3755.0
083450,글로벌스탠다드테크놀로지,GST,,16550.0
900070,글로벌에스엠테크리미티드,글로벌에스엠,,435.0
204620,글로벌텍스프리,글로벌텍스프리,,4015.0
019660,글로본,글로본,,473.0
014285,금강공업1우선주,금강공업우,,6840.0
014280,금강공업보통주,금강공업,,4350.0
053260,금강철강,금강철강,,4520.0
008870,금비보통주,금비,,55100.0
282720,금양그린파워,금양그린파워,,10820.0
001570,금양보통주,금양,,41400.0
002995,금호건설1우선주,금호건설우,,10190.0
002990,금호건설보통주,금호건설,,2855.0
011785,금호석유화학1우선주,금호석유우,,60200.0
011780,금호석유화학보통주,금호석유,,121000.0
214330,금호에이치티보통주,금호에이치티,,600.0
001210,금호전기보통주,금호전기,,763.0
073240,금호타이어보통주,금호타이어,,4380.0
036190,금화피에스시,금화피에스시,,28050.0
049080,기가레인,기가레인,,704.0
420770,기가비스,기가비스,,37000.0
035460,기산텔레콤,기산텔레콤,,1753.0
092440,기신정기 보통주,기신정기,,2590.0
000270,기아보통주,기아,,93000.0
456700,길교이앤씨,길교이앤씨,,19100.0
013700,까뮤이앤씨보통주,까뮤이앤씨,,1312.0
308100,까스텔바작,까스텔바작,,2985.0
004545,깨끗한나라1우선주,깨끗한나라우,,12000.0
004540,깨끗한나라보통주,깨끗한나라,,2060.0
407400,꿈비,꿈비,,6100.0
187790,나노,나노,,1025.0
286750,나노브릭,나노브릭,,2060.0
121600,나노신소재,나노신소재,,78700.0
247660,나노씨엠에스,나노씨엠에스,,7540.0
039860,나노엔텍,나노엔텍,,3835.0
091970,나노캠텍,나노캠텍,,508.0
417010,나노팀,나노팀,,8750.0
244880,나눔테크,나눔테크,,1900.0
405920,나라셀라,나라셀라,,3695.0
288490,나라소프트,나라소프트,,60.0
051490,나라엠앤디,나라엠앤디,,4515.0
137080,나래나노텍,나래나노텍,,3120.0
